"","KeyCount","RebalanceActive","MaxFixedCache2BranchLength","RebalancingMode","Cache1Items","Cache2Items","Cache2ItemsGone","AvgTime"
"1340",3500,FALSE,17,"None",207.25,2747.25,347.25,3
"1341",3500,TRUE,8,"Light",439.25,2189,2709.25,8.75
"1342",3500,TRUE,8,"Heavy",446.75,2227.25,2890.75,9.5
"1343",3500,TRUE,8,"Mixed",420.75,2279.25,3189,10
"1344",3500,FALSE,8,"None",440,2210.5,2940.25,9.25
"1345",3500,TRUE,9,"Light",439,2159,2897.25,9
"1346",3500,TRUE,9,"Heavy",425.75,2170.25,2800.75,8.75
"1347",3500,TRUE,9,"Mixed",417,2279,2566.5,8.5
"1348",3500,FALSE,9,"None",414.25,2192.5,2884.5,9.5
"1349",3500,TRUE,10,"Light",431.5,2220.75,2609.25,8.75
"1350",3500,TRUE,10,"Heavy",391,2324.5,2254,7.75
"1351",3500,TRUE,10,"Mixed",413,2322,2324.75,7.5
"1352",3500,FALSE,10,"None",435.25,2257.5,2571.75,8.75
"1353",3500,TRUE,11,"Light",418.5,2334.5,2150,7.25
"1354",3500,TRUE,11,"Heavy",363.75,2420,1710.25,6.5
"1355",3500,TRUE,11,"Mixed",356.75,2369.75,1648.75,6.25
"1356",3500,FALSE,11,"None",428.75,2301.5,2576.25,8.5
"1357",3500,TRUE,12,"Light",392.25,2400.25,1977.75,6.75
"1358",3500,TRUE,12,"Heavy",311,2460.5,1235.5,5.25
"1359",3500,TRUE,12,"Mixed",232.25,2604.25,1330.25,5.5
"1360",3500,FALSE,12,"None",351.25,2495.25,1934.75,6.5
"1361",3500,TRUE,13,"Light",328.25,2494.75,1916.75,6.75
"1362",3500,TRUE,13,"Heavy",247,2643.75,797.75,4
"1363",3500,TRUE,13,"Mixed",272.75,2614,838.75,4
"1364",3500,FALSE,13,"None",312.5,2486,1698,6.25
"1365",3500,TRUE,14,"Light",347.5,2493.25,1743,6.75
"1366",3500,TRUE,14,"Heavy",200.25,2684,520.25,3.25
"1367",3500,TRUE,14,"Mixed",214.75,2724.75,426.5,3
"1368",3500,FALSE,14,"None",313.5,2534.25,1234,5
"1369",3500,TRUE,15,"Light",288.25,2581.5,1571.5,6.25
"1370",3500,TRUE,15,"Heavy",190,2759.75,298,3
"1371",3500,TRUE,15,"Mixed",171.25,2804.5,185.75,3.25
"1372",3500,FALSE,15,"None",313,2484.75,1287.75,5.5
"1373",3500,TRUE,16,"Light",269.25,2665.25,1062.75,4.75
