"","KeyCount","RebalanceActive","MaxFixedCache2BranchLength","RebalancingMode","Cache1Items","Cache2Items","Cache2ItemsGone","AvgTime","GoneIntensity"
"254",3000,TRUE,14,"Heavy",371.25,1998.5,4538.5,15.25,0.3836773
"255",3000,TRUE,14,"Mixed",176.75,2368,435,3.5,0.2082512
"256",3000,FALSE,14,"None",288.25,2102,2460,9.25,0.3148251
"257",3000,TRUE,15,"Light",251.5,2184.75,2105.25,8.5,0.3455762
"258",3000,TRUE,15,"Heavy",301.5,2067,2762.5,10.25,0.2213665
"259",3000,TRUE,15,"Mixed",321.5,2033,2952.5,11,0.3290479
"260",3000,FALSE,15,"None",289,2165,2704.25,10.25,0.3234165
"261",3000,TRUE,11,"Light",459.25,1678.5,6380.75,21,0.4232601
"262",3000,TRUE,11,"Heavy",292.25,2145.5,1348,6.5,0.0248752
"263",3000,TRUE,11,"Mixed",476.25,1733,6474,21,0.6253425
"264",3000,FALSE,11,"None",426.25,1837,6140.25,20,0.645864
"265",3000,TRUE,12,"Light",448,1825.75,6097,20,0.5483425
"266",3000,TRUE,12,"Heavy",368,1895.75,4998.75,17.75,0.2365469
"267",3000,TRUE,12,"Mixed",182,2313.25,486.75,4.5,0.01200119
"268",3000,FALSE,12,"None",390,1862.75,4754.5,16.5,0.3115426
"269",3000,TRUE,13,"Light",282.5,2092,1731.5,7.25,0.1298124
"270",3000,TRUE,13,"Heavy",148.5,2409.75,226,3.25,0.005076197
"271",3000,TRUE,13,"Mixed",386.5,1844.75,4805.5,16.25,0.5175155
"272",3000,FALSE,13,"None",347.25,1936,3792,13,0.3598871
"273",3000,TRUE,14,"Light",338.25,2027.25,3687,13.25,0.1732546
"274",3000,TRUE,14,"Heavy",337.25,2022.25,3356.5,11.75,0.2882521
"275",3000,TRUE,14,"Mixed",305.75,2076.25,2646.25,9.75,0.362394
"276",3000,FALSE,14,"None",333.75,2107,3175.75,11.5,0.3043633
"277",3000,TRUE,15,"Light",292.25,2121.75,2646.25,10,0.5051362
"278",3000,TRUE,15,"Heavy",147.25,2459,111.25,3.5,0.003371725
"279",3000,TRUE,15,"Mixed",127,2464.5,111.25,2.5,0.01513205
"280",3000,FALSE,15,"None",245.75,2254.25,1583.5,7,0.3674063
"281",3000,TRUE,11,"Light",480.25,1717.25,6293.75,21,0.6080226
"282",3000,TRUE,11,"Heavy",430.5,1785,5117.75,17.5,0.4409673
"283",3000,TRUE,11,"Mixed",453.5,1791.75,6174.25,20.25,0.5060456
"284",3000,FALSE,11,"None",520.75,1687.25,5844.25,19,0.2640704
"285",3000,TRUE,12,"Light",323.5,2065.5,2856.75,10.5,0.2285887
"286",3000,TRUE,12,"Heavy",414.25,1851.5,4888.75,16.75,0.5162343
"287",3000,TRUE,12,"Mixed",384.5,1845.75,5326.75,18.25,0.4142116
"288",3000,FALSE,12,"None",327.25,1633,6353.75,21.5,0.2801766
"289",3000,TRUE,13,"Light",354.75,1937.75,3623.25,13,0.2129159
"290",3000,TRUE,13,"Heavy",505.5,1743.5,7204.25,23,0.5667409
"291",3000,TRUE,13,"Mixed",362,1977.5,4952.25,17,0.2609654
"292",3000,FALSE,13,"None",413,1873,5295.75,17.75,0.5267621
"293",3000,TRUE,14,"Light",305.5,2079.75,3370,11.75,0.5028042
"294",3000,TRUE,14,"Heavy",358.5,1988.25,3102.75,11.75,0.349315
"295",3000,TRUE,14,"Mixed",286.5,2141.75,2571,9.5,0.2905969
"296",3000,FALSE,14,"None",301.5,2051.25,2797.75,10.5,0.2081518
"297",3000,TRUE,15,"Light",232,2209.75,1157,5.5,0.1203321
"298",3000,TRUE,15,"Heavy",237.25,2277.5,1278.25,8,0.2342633
"299",3000,TRUE,15,"Mixed",219.5,2237.25,1258.25,5.75,0.3329315
"300",3000,FALSE,15,"None",250,2179,1704.5,7.25,0.05645805
